updrs_item,mean_abs_shap
UPDRS-Rest tremor (constancy),0.035933086009415964
UPDRS-Arising from chair,0.03572652007386068
UPDRS-Postural stability,0.03198740547560623
UPDRS-Rest tremor (right upper limb),0.02930556950367439
UPDRS-Posture,0.02013648650776992
UPDRS-Rest tremor (left lower limb),0.013644069452049126
UPDRS-Facial expression,0.013365507280957582
UPDRS-Rigidity (right upper limb),0.013307718362034418
UPDRS-Rest tremor (left upper limb),0.011747021936451078
UPDRS-Kinetic tremor (left),0.011173956065607796
UPDRS-Toe tapping (right),0.010833468268826946
UPDRS-Postural tremor (right),0.010460590856622829
UPDRS-Postural tremor (left),0.009321453628172
UPDRS-Freezing of gait,0.008927454365008743
UPDRS-Rest tremor (right lower limb),0.008153110138957033
UPDRS-Finger tapping (right),0.008082286736901279
UPDRS-Rigidity (right lower limb),0.007422381625135738
UPDRS-Hand movements (right),0.006343213545846758
UPDRS-Rigidity (left upper limb),0.006120971612273206
UPDRS-Hand movements (left),0.005609816784074966
UPDRS-Rigidity (neck),0.005382031838906547
UPDRS-Speech,0.005324819276005754
UPDRS-Gait,0.00525576137069845
UPDRS-Kinetic tremor (right),0.005225724214605434
UPDRS-Leg agility (right),0.003815211603375001
UPDRS-Rest tremor (lip/jaw),0.003725619174446597
UPDRS-Toe tapping (left),0.003718632857212013
UPDRS-Finger tapping (left),0.0036596501225443635
UPDRS-Pronation-supination (left),0.002473017002896599
UPDRS-Rigidity (left lower limb),0.002326231091140884
UPDRS-Global spontaneity of movement (body bradykinesia),0.002145649487587471
UPDRS-Pronation-supination (right),0.0017762029203342883
UPDRS-Leg agility (left),0.001274404318413679
